series id,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
UNRATE,UNRATE,2024-12-11,2024-12-11,Unemployment Rate,1948-01-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:02-06:00,95,"The unemployment rate represents the number of unemployed as a percentage of the labor force. Labor force data are restricted to people 16 years of age and older, who currently reside in 1 of the 50 states or the District of Columbia, who do not reside in institutions (e.g., penal and mental facilities, homes for the aged), and who are not on active duty in the Armed Forces.  This rate is also defined as the U-3 measure of labor underutilization.  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14000000"
UNRATENSA,UNRATENSA,2024-12-11,2024-12-11,Unemployment Rate,1948-01-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 07:46:03-06:00,58,"The unemployment rate represents the number of unemployed as a percentage of the labor force. Labor force data are restricted to people 16 years of age and older, who currently reside in 1 of the 50 states or the District of Columbia, who do not reside in institutions (e.g., penal and mental facilities, homes for the aged), and who are not on active duty in the Armed Forces.  This rate is also defined as the U-3 measure of labor underutilization.  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU04000000"
UNEMPLOY,UNEMPLOY,2024-12-11,2024-12-11,Unemployment Level,1948-01-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-12-06 07:47:06-06:00,71,"The series comes from the 'Current Population Survey (Household Survey)' The source code is: LNS13000000  The Unemployment Level is the aggregate measure of people currently unemployed in the US. Someone in the labor force is defined as unemployed if they were not employed during the survey reference week, were available for work, and made at least one active effort to find a job during the 4-week survey period.   The Unemployment Level is collected in the CPS and published by the BLS. It is provided on a monthly basis, so this data is used in part by macroeconomists as an initial economic indicator of current trends. The Unemployment Level helps government agencies, financial markets, and researchers gauge the overall health of the economy.  Note that individuals that are not employed but not actively looking for a job are not counted as unemployed. For instance, declines in the Unemployment Level may either reflect movements of unemployed individuals into the labor force because they found a job, or movements of unemployed individuals out of the labor force because they stopped looking to find a job.   For more information, see: U.S. Bureau of Labor Statistics, CES Overview (https://www.bls.gov/web/empsit/cesprog.htm) U.S. Bureau of Labor Statistics, BLS Handbook of Methods: Chapter 2. Employment, Hours, and Earnings from the Establishment Survey (https://www.bls.gov/opub/hom/pdf/ces-20110307.pdf)"
NROU,NROU,2024-12-11,2024-12-11,Noncyclical Rate of Unemployment,1949-01-01,2034-10-01,Quarterly,Q,Percent,%,Not Seasonally Adjusted,NSA,2024-07-01 12:01:04-05:00,69,"Starting with the July, 2021 report: An Update to the Budget and Economic Outlook: 2021 to 2031 (https://www.cbo.gov/publication/57218), this series was renamed from ""Natural Rate of Unemployment (Long-Term)"" to ""Noncyclical Rate of Unemployment"".  The natural rate of unemployment (NAIRU) is the rate of unemployment arising from all sources except fluctuations in aggregate demand. Estimates of potential GDP are based on the long-term natural rate. (CBO did not make explicit adjustments to the short-term natural rate for structural factors before the recent downturn.) The short-term natural rate incorporates structural factors that are temporarily boosting the natural rate beginning in 2008. The short-term natural rate is used to gauge the amount of current and projected slack in labor markets, which is a key input into CBO's projections of inflation."
CCSA,CCSA,2024-12-11,2024-12-11,Continued Claims (Insured Unemployment),1967-01-07,2024-11-23,"Weekly, Ending Saturday",W,Number,Number,Seasonally Adjusted,SA,2024-12-05 07:33:04-06:00,74,"Continued claims, also referred to as insured unemployment, is the number of people who have already filed an initial claim and who have experienced a week of unemployment and then filed a continued claim to claim benefits for that week of unemployment. Continued claims data are based on the week of unemployment, not the week when the initial claim was filed."
CCNSA,CCNSA,2024-12-11,2024-12-11,Continued Claims (Insured Unemployment),1967-01-07,2024-11-23,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2024-12-05 07:33:08-06:00,39,"Continued claims, also referred to as insured unemployment, is the number of people who have already filed an initial claim and who have experienced a week of unemployment and then filed a continued claim to claim benefits for that week of unemployment. Continued claims data are based on the week of unemployment, not the week when the initial claim was filed."
LNS14000006,LNS14000006,2024-12-11,2024-12-11,Unemployment Rate - Black or African American,1972-01-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:04-06:00,72,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14000006
LNU03000000,LNU03000000,2024-12-11,2024-12-11,Unemployment Level,1948-01-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-12-06 07:46:15-06:00,27,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU03000000
LNU04000006,LNU04000006,2024-12-11,2024-12-11,Unemployment Rate - Black or African American,1972-01-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 07:46:17-06:00,23,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU04000006
U6RATE,U6RATE,2024-12-11,2024-12-11,"Total Unemployed, Plus All Persons Marginally Attached to the Labor Force, Plus Total Employed Part Time for Economic Reasons, as a Percent of the Civilian Labor Force Plus All Persons Marginally Attached to the Labor Force (U-6)",1994-01-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:08-06:00,67,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS13327709
