"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2020,364,308,56,0,0,0,0,78,54,28,0,0,0,258,106
"Aberdeen, WA","10140",2020,366,330,28,1,2,5,0,242,50,27,0,0,0,366,0
"Adjuntas, PR","10260",2020,57,52,5,0,0,0,0,63,50,18,0,0,0,57,0
"Adrian, MI","10300",2020,366,248,116,2,0,0,0,122,61,42,0,0,134,232,0
"Akron, OH","10420",2020,361,190,167,4,0,0,0,114,64,49,0,0,89,272,0
"Albany, GA","10500",2020,366,194,170,2,0,0,0,114,65,49,0,0,0,366,0
"Albany, OR","10540",2020,366,245,110,0,0,3,8,853,67,36,0,0,0,366,0
"Albany-Schenectady-Troy, NY","10580",2020,365,235,127,3,0,0,0,143,60,43,0,0,121,244,0
"Albuquerque, NM","10740",2020,366,101,255,8,1,1,0,214,78,57,0,0,170,131,65
"Alexandria, LA","10780",2020,121,95,25,1,0,0,0,103,56,34,0,0,0,121,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2020,366,234,131,1,0,0,0,117,61,44,0,4,126,236,0
"Altoona, PA","11020",2020,360,262,98,0,0,0,0,87,60,43,0,0,162,198,0
"Amarillo, TX","11100",2020,366,267,99,0,0,0,0,90,64,43,0,0,306,60,0
"Americus, GA","11140",2020,240,237,3,0,0,0,0,64,44,32,0,0,240,0,0
"Anchorage, AK","11260",2020,366,281,84,1,0,0,0,103,57,29,3,0,0,283,80
"Ann Arbor, MI","11460",2020,366,236,124,5,1,0,0,160,61,43,0,0,150,216,0
"Appleton, WI","11540",2020,366,254,110,2,0,0,0,126,60,40,0,0,131,235,0
"Ardmore, OK","11620",2020,345,201,143,1,0,0,0,147,67,47,0,0,126,219,0
"Arkadelphia, AR","11660",2020,342,341,1,0,0,0,0,67,40,29,0,0,342,0,0
"Asheville, NC","11700",2020,364,307,57,0,0,0,0,97,54,41,0,0,203,161,0
"Ashtabula, OH","11780",2020,241,224,17,0,0,0,0,93,47,37,0,0,241,0,0
"Athens, OH","11900",2020,86,73,13,0,0,0,0,65,52,32,0,0,0,86,0
"Athens, TN","11940",2020,358,280,78,0,0,0,0,89,55,37,0,0,0,358,0
"Athens-Clarke County, GA","12020",2020,366,249,117,0,0,0,0,99,59,44,0,0,80,286,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2020,366,151,212,3,0,0,0,125,69,53,0,2,66,298,0
"Atlantic City-Hammonton, NJ","12100",2020,359,286,73,0,0,0,0,90,55,37,0,0,170,189,0
"Augusta-Richmond County, GA-SC","12260",2020,366,166,199,1,0,0,0,115,64,52,0,0,55,311,0
"Augusta-Waterville, ME","12300",2020,230,221,9,0,0,0,0,67,45,35,0,4,188,38,0
"Austin-Round Rock, TX","12420",2020,366,182,182,1,1,0,0,154,66,51,0,3,95,267,1
"Bakersfield, CA","12540",2020,366,56,180,98,28,4,0,267,140,83,0,0,184,166,16
"Baltimore-Columbia-Towson, MD","12580",2020,365,232,130,3,0,0,0,119,62,46,0,10,152,203,0
"Bangor, ME","12620",2020,363,338,25,0,0,0,0,76,47,33,0,0,184,177,2
"Baraboo, WI","12660",2020,366,264,101,1,0,0,0,112,59,41,0,0,124,242,0
"Barnstable Town, MA","12700",2020,351,339,10,2,0,0,0,108,46,36,0,0,338,13,0
"Bartlesville, OK","12780",2020,344,232,111,1,0,0,0,101,60,43,0,0,145,199,0
"Baton Rouge, LA","12940",2020,366,176,184,6,0,0,0,136,70,51,0,1,98,267,0
"Bay City, MI","13020",2020,365,325,40,0,0,0,0,77,52,22,0,0,0,365,0
"Beaumont-Port Arthur, TX","13140",2020,363,196,165,2,0,0,0,122,68,48,0,0,132,231,0
"Beaver Dam, WI","13180",2020,366,247,117,2,0,0,0,136,61,42,0,0,168,196,2
"Bellingham, WA","13380",2020,366,341,16,2,4,3,0,237,44,24,0,0,120,246,0
"Bemidji, MN","13420",2020,359,318,41,0,0,0,0,76,51,30,0,0,0,359,0
"Bend-Redmond, OR","13460",2020,366,298,54,4,2,1,7,1099,61,23,0,0,0,366,0
"Bennington, VT","13540",2020,366,330,36,0,0,0,0,73,50,37,0,0,251,115,0
"Berlin, NH-VT","13620",2020,366,339,27,0,0,0,0,74,50,43,0,0,366,0,0
"Billings, MT","13740",2020,364,304,57,2,1,0,0,163,55,31,0,0,0,364,0
