state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
36,029,0005,45201,2,42.876907,-78.809526,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,50,83.0,N,50,60,0,10,,,Certification not required,0.942,0.425268,2.3,2015-09-03 00:00,2.0,2015-11-02 00:00,1.7,2015-12-14 00:00,1.6,2015-12-02 00:00,,,,,2.3,2.3,1.7,1.4,1.2,0.9,0.5,BUFFALO,"TRAILER,185 DINGENS STREET (near WEISS ST.)",New York,Erie,Buffalo,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2021-11-08
36,005,0110,45201,10,40.816,-73.902,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,49,82.0,N,49,60,0,11,,,Certification not required,1.344898,0.794528,4.5,2015-01-18 00:00,3.4,2015-03-25 00:00,3.0,2015-01-12 00:00,2.6,2015-03-01 00:00,,,,,4.5,4.5,3.0,2.3,1.6,1.1,0.6,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,005,0110,45201,20,40.816,-73.902,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,54,90.0,Y,54,60,0,1,,,Certification not required,1.407407,0.860858,4.4,2015-01-18 00:00,3.5,2015-12-02 00:00,3.4,2015-03-25 00:00,3.0,2015-01-12 00:00,,,,,4.4,3.5,3.4,2.7,1.7,1.1,0.6,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,005,0110,45201,2,40.816,-73.902,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,56,93.0,Y,56,60,0,4,,,Certification not required,1.414286,0.860746,4.4,2015-01-18 00:00,3.5,2015-12-02 00:00,3.4,2015-03-25 00:00,3.1,2015-01-12 00:00,,,,,4.4,3.5,3.4,2.7,1.7,1.1,0.6,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-08
36,047,0118,45201,2,40.69454,-73.92769,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,51,85.0,N,51,60,0,9,,,Certification not required,1.517647,0.846335,5.0,2015-01-18 00:00,3.4,2015-11-26 00:00,3.0,2015-01-12 00:00,2.9,2015-11-02 00:00,,,,,5.0,3.4,3.0,2.4,2.0,1.3,0.8,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-08
36,081,0124,45201,2,40.73614,-73.82153,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,57,95.0,Y,57,60,0,3,,,Certification not required,1.263158,0.578987,2.9,2015-01-18 00:00,2.7,2015-03-25 00:00,2.6,2015-01-12 00:00,2.6,2015-11-02 00:00,,,,,2.9,2.7,2.6,2.1,1.5,1.1,0.7,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-08
36,081,0124,45201,4,40.73614,-73.82153,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,57,95.0,Y,57,60,0,3,,,Certification not required,1.275439,0.638436,3.0,2015-01-18 00:00,2.8,2015-01-12 00:00,2.8,2015-03-25 00:00,2.8,2015-11-02 00:00,,,,,3.0,2.8,2.8,2.3,1.5,1.2,0.6,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-08
36,085,0111,45201,2,40.58027,-74.19832,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,57,95.0,Y,57,60,0,3,,,Certification not required,1.470175,0.850203,3.9,2015-08-28 00:00,3.5,2015-01-18 00:00,3.2,2015-11-20 00:00,2.7,2015-09-15 00:00,,,,,3.9,3.5,3.2,2.6,2.0,1.4,0.5,FRESHKILLS WEST,FRESHKILLS WEST   310 West Service Road,New York,Richmond,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-08
36,005,0133,45201,1,40.8679,-73.87809,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,1806,21.0,N,78,365,0,129,,,Certification not required,0.994158,0.526938,6.98,2015-08-18 07:00,4.2,2015-07-06 05:00,3.85,2015-07-06 04:00,3.84,2015-07-06 01:00,,,,,2.79,2.38,1.93,1.62,1.21,0.9,0.46,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,005,0133,45201,4,40.8679,-73.87809,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,60,100.0,Y,60,60,0,0,,,Certification not required,1.403333,0.869047,4.1,2015-01-18 00:00,3.9,2015-01-12 00:00,3.3,2015-01-24 00:00,3.2,2015-11-26 00:00,,,,,4.1,3.9,3.3,3.0,1.8,1.1,0.6,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-08
