state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
48,245,0009,45201,6,30.036422,-94.071061,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,7648,87.0,Y,349,365,0,48,,,Certification not required,1.385629,1.911229,57.74,2015-01-20 08:00,29.85,2015-02-11 03:00,29.69,2015-10-16 05:00,27.96,2015-01-18 09:00,,,,,8.21,5.75,3.91,2.7,1.62,0.95,0.26,Beaumont Downtown,1086 Vermont Avenue,Texas,Jefferson,Beaumont,13140,"Beaumont-Port Arthur, TX",2020-05-21
48,245,1035,45201,1,29.979958,-94.004746,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,7494,86.0,Y,340,365,0,49,,,Certification not required,1.138034,1.557578,65.49,2015-10-30 05:00,33.86,2015-08-20 23:00,21.97,2015-09-18 06:00,17.92,2015-06-24 00:00,,,,,6.45,4.71,3.18,2.32,1.43,0.82,0.0,Nederland 17th Street,1516 17th Street,Texas,Jefferson,Nederland,13140,"Beaumont-Port Arthur, TX",2020-05-21
48,201,1039,45201,3,29.670025,-95.128508,WGS84,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,55,90.0,Y,53,61,0,4,,,Certification not required,2.389091,2.75185,13.38,2015-10-03 00:00,12.06,2015-09-27 00:00,7.92,2015-09-21 00:00,7.62,2015-10-15 00:00,,,,,13.38,12.06,7.92,5.28,3.42,1.68,0.0,Houston Deer Park #2,4514 1/2 Durant Street,Texas,Harris,Deer Park,26420,"Houston-The Woodlands-Sugar Land, TX",2020-05-21
48,139,1044,45201,1,32.175417,-96.870189,WGS84,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,59,98.0,Y,59,60,0,0,,,Certification not required,0.768814,0.737164,4.02,2015-10-27 00:00,2.76,2015-11-26 00:00,1.5,2015-03-07 00:00,1.5,2015-11-14 00:00,,,,,4.02,2.76,1.5,1.44,1.2,0.84,0.0,Italy,900 FM 667 Ellis County,Texas,Ellis,Italy,19100,"Dallas-Fort Worth-Arlington, TX",2020-05-21
48,113,0069,45201,10,32.820061,-96.860117,WGS84,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,57,93.0,Y,55,61,0,2,,,Certification not required,0.997895,0.782603,3.42,2015-12-02 00:00,2.52,2015-11-02 00:00,2.16,2015-01-06 00:00,2.1,2015-01-18 00:00,,,,,3.42,2.52,2.16,1.98,1.5,1.02,0.0,Dallas Hinton,1415 Hinton Street,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2020-05-21
48,355,0034,45201,1,27.811817,-97.465703,WGS84,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,60,98.0,Y,58,61,0,2,,,Certification not required,1.584,1.404616,5.58,2015-10-21 00:00,4.38,2015-01-06 00:00,4.32,2015-03-09 00:00,4.32,2015-05-12 00:00,,,,,5.58,4.38,4.32,3.84,2.58,1.44,0.0,Dona Park,5707 Up River Rd,Texas,Nueces,Corpus Christi,18580,"Corpus Christi, TX",2020-05-21
48,439,1002,45201,10,32.80581,-97.356529,NAD83,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,7289,83.0,Y,331,365,0,183,,,Certification not required,1.027511,0.863032,12.47,2015-01-27 19:00,11.11,2015-01-27 20:00,10.65,2015-03-05 20:00,8.41,2015-03-05 21:00,,,,,4.57,3.86,2.67,1.86,1.21,0.8,0.36,Fort Worth Northwest,3317 Ross Ave,Texas,Tarrant,Fort Worth,19100,"Dallas-Fort Worth-Arlington, TX",2020-05-21
48,203,0002,45201,1,32.669001,-94.167468,NAD83,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,57,95.0,Y,57,60,0,2,,,Certification not required,1.415789,0.761303,3.36,2015-01-06 00:00,2.82,2015-12-08 00:00,2.76,2015-06-23 00:00,2.64,2015-08-10 00:00,,,,,3.36,2.82,2.76,2.4,1.92,1.38,0.0,Karnack,Hwy 134 & Spur 449,Texas,Harrison,,32220,"Marshall, TX",2020-05-21
48,439,1002,45201,15,32.80581,-97.356529,NAD83,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,57,95.0,Y,57,60,0,3,,,Certification not required,1.017895,0.789825,2.76,2015-11-02 00:00,2.58,2015-11-14 00:00,2.58,2015-12-20 00:00,2.16,2015-10-27 00:00,,,,,2.76,2.58,2.58,1.98,1.62,1.2,0.0,Fort Worth Northwest,3317 Ross Ave,Texas,Tarrant,Fort Worth,19100,"Dallas-Fort Worth-Arlington, TX",2020-05-21
48,439,3009,45201,2,32.98426,-97.063721,WGS84,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,59,98.0,Y,59,60,0,1,,,Certification not required,0.882712,0.61209,1.98,2015-11-14 00:00,1.86,2015-03-19 00:00,1.8,2015-11-02 00:00,1.62,2015-12-20 00:00,,,,,1.98,1.86,1.8,1.56,1.38,1.02,0.0,Grapevine Fairway,4100 Fairway Dr,Texas,Tarrant,Grapevine,19100,"Dallas-Fort Worth-Arlington, TX",2020-05-21
48,251,1008,45201,1,32.469701,-97.169271,WGS84,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,52,87.0,Y,52,60,0,7,,,Certification not required,0.878077,0.623768,2.76,2015-10-09 00:00,1.8,2015-11-08 00:00,1.74,2015-01-12 00:00,1.68,2015-12-20 00:00,,,,,2.76,1.8,1.74,1.44,1.32,1.02,0.0,Johnson County Luisa,2420 Luisa Ln,Texas,Johnson,Alvarado,19100,"Dallas-Fort Worth-Arlington, TX",2020-05-21
48,141,0044,45201,1,31.765685,-106.455227,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,7118,81.0,Y,320,365,0,329,,,Certification not required,1.671954,2.713756,38.29,2015-12-04 20:00,35.69,2015-11-23 21:00,34.21,2015-02-06 23:00,32.66,2015-01-27 23:00,,,,,13.69,10.17,5.81,3.64,1.79,0.94,0.0,El Paso Chamizal,800 S San Marcial Street,Texas,El Paso,El Paso,21340,"El Paso, TX",2020-05-21
48,121,0034,45201,2,33.219069,-97.196284,WGS84,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,55,92.0,Y,55,60,0,5,,,Certification not required,1.136727,0.927392,4.08,2015-03-07 00:00,3.66,2015-11-14 00:00,3.3,2015-12-02 00:00,2.52,2015-04-30 00:00,,,,,4.08,3.66,3.3,1.98,1.62,1.08,0.0,Denton Airport South,Denton Airport South,Texas,Denton,Denton,19100,"Dallas-Fort Worth-Arlington, TX",2020-05-21
48,113,0069,45201,3,32.820061,-96.860117,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,7607,87.0,Y,346,365,0,37,,,Certification not required,0.875912,0.801032,9.57,2015-12-01 20:00,9.38,2015-12-02 01:00,9.18,2015-12-01 21:00,8.85,2015-12-22 01:00,,,,,4.26,3.2,2.16,1.62,1.1,0.7,0.24,Dallas Hinton,1415 Hinton Street,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2020-05-21
48,135,0003,45201,2,31.836577,-102.342066,NAD83,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,2273,88.0,Y,104,108,0,15,,,Certification not required,2.135645,2.414731,25.16,2015-01-06 22:00,19.58,2015-03-24 21:00,18.64,2015-01-16 08:00,18.33,2015-03-16 01:00,,,,,13.14,10.62,6.63,4.29,2.32,1.36,0.63,Odessa-Hays Elementary School,Barrett & Monahans Streets,Texas,Ector,Odessa,36220,"Odessa, TX",2020-05-21
48,201,0026,45201,2,29.802707,-95.125495,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,7551,86.0,Y,344,365,0,175,,,Certification not required,2.761461,4.335986,161.05,2015-09-23 06:00,75.03,2015-11-23 18:00,75.02,2015-04-24 05:00,59.81,2015-09-23 21:00,,,,,18.92,13.5,8.53,5.64,2.98,1.59,0.64,Channelview,1405 Sheldon Road,Texas,Harris,Channelview,26420,"Houston-The Woodlands-Sugar Land, TX",2020-05-21
48,201,1035,45201,2,29.733726,-95.257593,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,7148,82.0,Y,328,365,0,243,,,Certification not required,1.902511,3.550796,186.01,2015-03-21 20:00,118.53,2015-11-25 19:00,33.96,2015-08-03 21:00,32.4,2015-02-13 17:00,,,,,12.43,9.22,6.12,4.21,2.08,1.07,0.4,Clinton,9525 1/2 Clinton Dr,Texas,Harris,Houston,26420,"Houston-The Woodlands-Sugar Land, TX",2020-05-21
48,201,1039,45201,1,29.670025,-95.128508,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,7280,83.0,Y,330,365,0,180,,,Certification not required,2.126876,6.200145,266.65,2015-11-30 21:00,164.89,2015-12-01 01:00,162.32,2015-12-01 00:00,104.35,2015-11-30 19:00,,,,,24.0,14.91,7.37,4.29,1.9,0.84,0.0,Houston Deer Park #2,4514 1/2 Durant Street,Texas,Harris,Deer Park,26420,"Houston-The Woodlands-Sugar Land, TX",2020-05-21
48,201,1039,45201,2,29.670025,-95.128508,WGS84,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,59,98.0,Y,59,60,0,0,,,Certification not required,2.470169,2.584667,13.14,2015-10-03 00:00,11.82,2015-09-27 00:00,7.98,2015-09-21 00:00,7.86,2015-10-15 00:00,,,,,13.14,11.82,7.98,5.16,3.42,1.8,0.0,Houston Deer Park #2,4514 1/2 Durant Street,Texas,Harris,Deer Park,26420,"Houston-The Woodlands-Sugar Land, TX",2020-05-21
48,479,0017,45201,1,27.501826,-99.502984,WGS84,Benzene,7,24 HOUR,,Observed Values,Passivated Canister - Cryogenic Preconcentration GC/MS,2015,Parts per billion Carbon,No Events,49,80.0,N,48,61,0,9,,,Certification not required,3.002449,1.309158,6.3,2015-12-08 00:00,6.24,2015-01-06 00:00,5.52,2015-01-24 00:00,5.22,2015-03-13 00:00,,,,,6.3,6.3,5.52,4.98,3.66,2.64,1.74,Laredo Bridge,700 Zaragosa St,Texas,Webb,Laredo,29700,"Laredo, TX",2020-05-21
48,245,0009,45201,6,30.036422,-94.071061,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2016,Parts per billion Carbon,No Events,7240,82.0,Y,331,366,0,348,,,Certification not required,1.580131,2.723825,93.07,2016-08-17 17:00,76.68,2016-06-16 20:00,60.12,2016-06-16 21:00,49.93,2016-11-02 20:00,,,,,10.7,6.84,4.07,2.89,1.71,1.01,0.4,Beaumont Downtown,1086 Vermont Avenue,Texas,Jefferson,Beaumont,13140,"Beaumont-Port Arthur, TX",2020-05-21
48,245,1035,45201,1,29.979958,-94.004746,WGS84,Benzene,1,1 HOUR,,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2016,Parts per billion Carbon,No Events,6725,77.0,Y,305,366,0,799,,,Certification not required,0.840721,1.494434,36.91,2016-12-11 05:00,33.88,2016-08-17 17:00,28.95,2016-03-07 06:00,27.25,2016-03-07 05:00,,,,,5.34,4.09,2.83,1.97,1.06,0.53,0.0,Nederland 17th Street,1516 17th Street,Texas,Jefferson,Nederland,13140,"Beaumont-Port Arthur, TX",2020-05-21
